Tier,Gene,Homo_sapiens,Macaca_mulatta,Mus_musculus,Rattus_norvegicus,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
1,CHRM5,NM_012125,nm_001032931.1,xm_006499099.3,nm_017362.4,xm_002925206.3,xm_012465438.1,nm_001244611.1,xm_002753583.3,xm_010981166.1,xm_005638190.2,xm_018053801.1,nm_001173112.1,xm_004421372.1,xm_012091990.1,xm_005381165.2,xm_008017152.1,xm_006831811.1,xm_004687951.2,xm_007617240.1,xm_004455350.1,xm_013014364.1,xm_004712675.1,xm_006883057.1,xm_008142956.1,nm_001257079.1,xm_007521681.1,xm_003987304.4,xm_008565457.1,xm_004055908.2,xm_004861496.1,xm_005337168.1,xm_004669714.1,xm_003418635.2,xm_015452598.1,xm_011710857.1,xm_011989110.1,xm_017660812.1,xm_013121047.1,xm_012742862.1,xm_005364228.1,xm_016199532.1,xm_001370396.3,xm_004751024.2,xm_008841149.2,xm_003272782.2,xm_004578208.1,xm_004643126.1,xm_004414390.2,xm_004274039.2,xm_017348159.1,xm_003791682.1,xm_012181142.2,xm_003804954.2,xm_016927897.1,xm_017960493.1,xm_002825253.2,xm_012649510.1,xm_011354861.1,xm_010386320.1,xm_016160798.1,xm_010346194.1,xm_004609539.1,xm_013997263.1,xm_004380592.2,xm_006140553.2,xm_019935114.1
1,CNR1,NM_016083,nm_001032825.1,nm_007726.3,xm_006237984.3,xm_002925513.3,xm_012444292.1,nm_001242341.1,xm_003732707.3,xm_010987707.1,xm_005627618.2,xm_018053156.1,xm_005002616.2,xm_014781105.1,xm_012067046.1,xm_005377738.1,xm_008006566.1,xm_006870623.1,xm_004673680.2,xm_007641027.1,xm_004454504.2,xm_013032853.1,xm_004696253.2,xm_006902344.1,xm_008147682.1,xm_005596792.2,xm_007536004.2,xm_011282446.2,xm_008583958.1,xm_019030112.1,xm_004860224.2,xm_005324720.1,xm_004667304.1,xm_010586310.1,xm_005552387.2,xm_011766660.1,xm_011984446.1,xm_017670099.1,xm_005080833.2,xm_012750964.1,xm_005361961.2,xm_016208118.1,xm_007484309.2,xm_004766923.1,xm_008831841.1,xm_004087619.1,xm_004580395.2,xm_004628222.1,xm_004417496.2,xm_012539537.1,xm_008263198.2,xm_003797512.2,xm_004011281.2,xm_008976475.1,xm_009451529.2,xm_009205643.2,xm_009242074.1,xm_012638196.1,xm_011367372.1,xm_010362193.1,xm_016140626.1,xm_010333801.1,xm_004605656.1,xm_013992672.1,xm_004388990.2,xm_006164360.2,xm_004315269.2
1,CNR2,NM_001841,xm_001105018.3,nm_001305278.1,nm_001164142.3,xm_019802637.1,xm_012439873.1,nm_001192303.1,xm_009000630.2,xm_010989813.1,xm_005617811.2,xm_005676856.2,xm_013154100.1,xm_014783982.1,xm_012080159.1,xm_005394787.2,xm_007980052.1,xm_006862302.1,xm_004679379.1,xm_003504924.3,xm_004465402.2,xm_013034917.1,xm_004705357.1,xm_006883659.1,xm_008148093.1,xm_005607011.2,xm_007522595.1,xm_019836387.1,xm_008573088.1,xm_004024898.2,xm_004850577.1,xm_005343004.2,xm_004657324.1,xm_003415240.2,xm_005544452.2,xm_011762840.1,xm_011977841.1,xm_017672324.1,xm_005079615.2,xm_012750607.2,xm_005353034.1,xm_016214570.1,xm_001362407.2,xm_004741187.2,xm_008848605.1,xm_003271607.2,xm_004592377.1,xm_012516098.1,xm_004394796.2,xm_004285660.1,xm_002716022.3,xm_003799759.2,xm_015093686.1,xm_008963130.1,xm_001166334.4,xm_009201721.2,xm_009233801.1,xm_012650884.1,xm_011357596.1,xm_010355752.1,xm_016126793.1,xm_003934868.2,xm_004622743.2,xm_005656050.2,xm_004377122.2,xm_006159469.2,xm_004327020.2
1,DRD2,NM_000795,xm_001085571.3,nm_010077.2,nm_012547.1,xm_002928410.3,xm_012470637.1,xm_015474608.1,xm_002754421.3,xm_010983293.1,xm_005619479.2,xm_018059765.1,xm_003472821.3,xm_004427316.1,xm_012066329.1,xm_005378146.2,xm_008020911.1,xm_006833833.1,xm_012729932.1,xm_003498542.1,xm_004481174.1,xm_013009616.1,xm_004712816.1,xm_006890788.1,xm_008150181.1,xm_005611574.2,xm_007535976.2,xm_003992361.4,xm_008591438.1,xm_004052152.2,xm_004856608.1,xm_005334208.1,xm_004666464.1,xm_003418229.2,xm_005579675.1,xm_011761337.1,xm_011977022.1,xm_017679399.1,xm_005069495.2,xm_012753312.2,xm_013346111.1,xm_016205335.1,xm_007494790.2,xm_004749851.1,xm_008832752.2,xm_003253162.3,xm_004585078.1,xm_004646372.1,xm_004416368.2,xm_004273390.1,xm_008261225.1,xm_012808149.1,xm_004016032.3,xm_008971728.1,xm_016919830.1,xm_003910718.2,xm_009247074.1,xm_012659160.1,xm_011365426.1,xm_010382376.1,xm_016148990.1,xm_003923693.2,xm_004604701.1,nm_001244253.1,xm_004382515.1,xm_006151031.1,xm_004320739.2
1,DRD3,NM_000796,nm_001289897.1,xm_006521777.2,xm_006248313.3,xm_019804066.1,xm_012463902.1,xm_005201335.3,xm_008982425.1,xm_010985034.1,xm_014110148.1,xm_005674943.3,xm_013151709.1,xm_004436563.1,xm_012083154.1,xm_013515044.1,xm_007985759.1,xm_006864169.1,xm_004675204.1,xm_016968082.1,xm_012518427.1,xm_013028530.1,xm_004706411.1,xm_006884272.1,xm_008146614.1,xm_001917412.3,xm_007516313.2,xm_006936058.2,xm_008580163.1,xm_004036093.2,xm_004835691.1,xm_005327606.1,xm_004666858.2,xm_003412984.1,xm_005548104.2,xm_011722278.1,xm_011966819.1,xm_017652404.1,xm_005074742.2,xm_012787562.1,xm_005345116.1,xm_016200145.1,xm_001368407.3,xm_004761411.2,xm_008842863.1,xm_003261833.1,xm_004577891.1,xm_004633311.1,xm_004414812.1,xm_004272040.1,xm_002716685.3,xm_003797706.1,xm_004002934.3,xm_003825120.2,xm_009445989.2,xm_003893946.3,xm_002813271.1,xm_012652233.1,xm_011376998.1,xm_010361005.1,xm_016150662.1,xm_003935438.2,xm_004606710.1,xm_013982425.1,xm_004373669.2,xm_014592983.1,xm_004317502.2
1,DRD4,NM_000797,xm_001087197.2,nm_007878.2,xm_006230521.2,xm_019810168.1,xm_012456021.1,xm_015470121.1,xm_009008787.1,xm_010999243.1,xm_014113173.1,xm_018043036.1,xm_003461283.3,xm_014795733.1,xm_012040988.1,xm_013502972.1,xm_007990850.1,xm_006833833.1,xm_012729932.1,xm_003509758.3,xm_004481173.2,xm_013009617.1,xm_004717196.1,xm_006893346.1,xm_008159613.1,xm_005598487.1,xm_007536571.2,xm_003992361.4,xm_008580171.1,xm_019035754.1,xm_013074630.1,xm_005341650.1,xm_004654168.1,xm_003423233.1,xm_005576764.2,xm_011762291.1,xm_011993826.1,xm_017679399.1,xm_005064212.2,xm_020286435.1,xm_005351511.1,xm_016219605.1,xm_016427443.1,nm_001310167.1,xm_017803543.1,xm_003281326.3,xm_012930968.1,xm_004638040.1,xm_004403768.1,xm_004278149.1,xm_008261218.2,xm_003802777.1,xm_004016032.3,xm_008977849.1,xm_016920015.1,xm_003909328.2,xm_002821327.2,xm_012651936.1,xm_011365426.1,xm_010355901.1,xm_016138195.1,xm_010331184.1,xm_004603126.1,xm_003122390.2,xm_004389411.1,xm_006151032.1,xm_004317503.2
1,DRD5,NM_000798,xm_001097117.3,nm_013503.3,nm_012768.1,xm_011229965.2,xm_012466993.1,nm_001206629.1,xm_002745992.3,xm_010975357.1,xm_005618578.1,xm_005681898.2,xm_003464368.1,xm_004432348.2,xm_012045471.1,xm_005408842.1,xm_008017903.1,xm_006864794.1,xm_004679237.1,xm_007626006.1,xm_004468905.1,xm_013023905.1,xm_004715080.1,xm_006884367.1,xm_008150879.1,xm_005614781.2,xm_007524367.2,xm_003985519.4,xm_008571486.1,xm_004038436.2,xm_004847511.1,xm_005319077.1,xm_004665021.1,xm_003411269.2,xm_005554477.2,xm_011714502.1,xm_011987817.1,xm_017640904.1,xm_005068824.2,xm_012781544.2,xm_005365966.1,xm_016203704.1,xm_001371240.2,xm_004770551.1,xm_008833111.1,xm_012499761.1,xm_012931415.1,xm_004624567.1,xm_004415889.2,xm_004286766.2,xm_008274145.2,xm_003800208.2,xm_015096298.1,xm_003826782.2,xm_528711.5,xm_003898477.2,xm_002814584.2,xm_012662836.1,xm_011374674.1,xm_010357591.1,xm_016137148.1,xm_003934678.2,xm_004617490.1,xm_013989284.1,xm_004385912.2,xm_014581979.1,xm_019928014.1
1,GABBR1,NM_001470,xm_015135646.1,nm_019439.3,nm_031028.3,xm_019793039.1,xm_012477455.1,nm_001163275.1,xm_008994084.1,xm_010994244.1,xm_014110547.1,xm_018038810.1,xm_003461152.3,xm_004441705.2,xm_012092443.1,xm_005414288.2,xm_007973305.1,xm_006875654.1,xm_004694750.2,xm_003507407.3,xm_012521501.1,xm_013031270.1,xm_013008485.1,xm_006896236.1,xm_008157395.1,xm_014734571.1,xm_007532279.2,xm_019830079.1,xm_008588868.1,xm_019029486.1,xm_004847125.2,xm_013364548.1,xm_004671922.2,xm_010601201.1,xm_005553691.2,xm_011758086.1,xm_011992250.1,xm_017657454.1,xm_005087199.2,xm_012760362.2,xm_013351253.1,xm_016222633.1,xm_016430927.1,xm_004781852.1,xm_008850452.2,xm_012503251.1,xm_004598373.2,xm_004648407.1,xm_004412205.1,xm_004286083.1,xm_002714338.3,xm_003788957.2,xm_015102608.1,xm_003829721.2,xm_016955120.1,xm_017957725.1,nm_001132517.1,xm_012660117.1,xm_011384012.1,xm_010381644.1,xm_016120689.1,xm_003944966.2,xm_004619615.1,xm_005665701.2,xm_004387102.1,xm_006172374.2,xm_019944847.1
1,GABBR2,NM_005458,xm_015117226.1,nm_001081141.1,nm_031802.1,xm_011219329.2,xm_012475766.1,xm_002689734.3,xm_017977615.1,xm_010977467.1,xm_538749.5,xm_005683953.3,xm_013153295.1,xm_014781900.1,xm_012075841.1,xm_005382826.2,xm_007968615.1,xm_006863147.1,xm_004677485.1,xm_007619483.2,xm_004455800.2,xm_013023244.1,xm_004711077.1,xm_006886874.1,xm_008141865.1,xm_001495012.5,xm_016189321.1,xm_003995690.4,xm_008575182.1,xm_004048340.2,xm_004864946.2,xm_013359028.1,xm_004656955.1,xm_003407572.2,xm_005581209.2,xm_011733608.1,xm_011993760.1,xm_017659758.1,xm_013119560.1,xm_012769020.2,xm_013351873.1,xm_016223063.1,xm_001372262.4,xm_004747687.2,xm_008850966.1,xm_003260548.1,xm_004581175.1,xm_004645219.1,xm_004392333.2,xm_004271474.1,xm_008255521.2,xm_003785363.2,xm_012120473.2,xm_003820625.3,xm_016961310.1,xm_017949365.1,xm_002820025.3,xm_012638275.1,xm_011366310.1,xm_010357632.1,xm_016146294.1,xm_003940112.1,xm_004600251.1,xm_003122032.5,xm_004372231.2,xm_006143690.1,xm_019948842.1
1,HTR1A,NM_000524,nm_001198700.1,nm_008308.4,nm_012585.1,xm_002926305.2,xm_012462288.1,xm_600535.5,xm_008992005.2,xm_010974916.1,nm_001012397.1,xm_005694649.3,xm_005000315.2,xm_004422865.2,xm_012086023.1,xm_005392639.1,xm_007973785.1,xm_006875290.1,xm_004678274.2,xm_007621875.1,xm_004484888.1,xm_013025258.1,xm_004703581.1,xm_006899360.1,xm_008161860.1,nm_001081782.2,xm_007537302.1,xm_019834870.1,xm_008588665.1,xm_004058791.2,xm_004862882.2,xm_005319577.1,xm_004671204.1,xm_003408057.2,xm_015451536.1,xm_011772022.1,xm_011968277.1,xm_017642537.1,xm_013125277.1,xm_012784050.1,xm_005366593.1,xm_016198768.1,xm_007486379.2,xm_004764560.1,xm_008856278.2,xm_003265980.2,xm_004583735.1,xm_004623053.1,xm_004402229.2,xm_004270739.2,nm_001198935.1,xm_003785861.2,xm_015101213.1,xm_003827421.2,nm_001135622.1,xm_003899719.3,xm_003776605.2,xm_012664543.1,xm_011371097.1,xm_010368180.1,xm_016137039.1,xm_003925804.2,xm_004608472.1,xm_005672476.2,xm_004374552.2,xm_006156821.1,xm_004325159.2
